player,birthplace
Brandon Knight,"Miami, Florida"
Udonis Haslem,"Miami, Florida"
Trevor Ariza,"Miami, Florida"
Dewan Hernandez,"Miami, Florida"
Justin James,"Port St. Lucie, Florida"
Tony Bradley,"Bartow, Florida"
Jordan Clarkson,"Tampa, Florida"
Dwayne Bacon,"Lakeland, Florida"
Joe Chealey,"Orlando, Florida"
Anfernee Simons,"Altamonte Springs, Florida"
Vince Carter,"Daytona Beach, Florida"
Wesley Matthews,"San Antonio, Texas"
Carsen Edwards,"Houston, Texas"
Grant Williams,"Houston, Texas"
DeAndre Jordan,"Houston, Texas"
Sheldon Mac,"Houston, Texas"
Justin Jackson,"Houston, Texas"
Danuel House,"Houston, Texas"
Johnathan Motley,"Houston, Texas"
Justise Winslow,"Houston, Texas"
Jimmy Butler,"Houston, Texas"
Jarred Vanderbilt,"Houston, Texas"
Dameyan Dotson,"Houston, Texas"
Wesley Iwundu,"Houston, Texas"
Taurean Prince,"San Marcos, Texas"
Elfrid Payton,"Gretna, Louisiana"
Thaddeus Young,"New Orleans, Louisiana"
DJ Augustin,"New Orleans, Louisiana"
Melvin Frazier,"New Orleans, Louisiana"
Kelly Oubre Jr.,"New Orleans, Louisiana"
De'Aron Fox,"New Orleans, Louisiana"
Josh Gray,"Lake Charles, Louisiana"
Grayson Allen,"Jacksonville, Florida"
Mitchell Robinson,"Pensacola, Florida"
Nassir Little,"Pensacola, Florida"
Damian Jones,"Baton Rouge, Louisiana"
Garrett Temple,"Baton Rouge, Louisiana"
Langston Galloway,"Baton Rouge, Louisiana"
Alex Caruso,"College Station, Texas"
Royce O'Neale,"Killeen, Texas"
Kenrich Williams,"Waco, Texas"
Jordan McRae,"Savannah, Georgia"
Shake Milton,"Savannah, Georgia"
Andre Roberson,"Las Cruces, New Mexico"
JaMychal Green,"Montgomery, Alabama"
Rodney Hood,"Meridian, Mississippi"
Paul Millsap,"Monroe, Louisiana"
Robert Williams,"Shreveport, Louisiana"
Aaron Holiday,"Ruston, Louisiana"
Quinndary Weatherspoon,"Canton, Mississippi"
Jarrett Allen,"San Diego, California"
Jared Dudley,"San Diego, California"
Josh Jackson,"San Diego, California"
Norman Powell,"San Diego, California"
Jarrett Culver,"Dallas, Texas"
Julius Randle,"Dallas, Texas"
Kevin Hervey,"Dallas, Texas"
LaMarcus Aldridge,"Dallas, Texas"
Khris Middleton,"Charleston, South Carolina"
Myles Turner,"Bedford, Texas"
Kentavious Caldwell-Pope,"Thomaston, Georgia"
Zhaire Smith,"Garland, Texas"
Marcus Smart,"Flower Mound, Texas"
Daniel Gafford,"El Dorado, Arkansas"
Marvin Bagley III,"Tempe, Arizona"
Kevin Knox,"Phoenix, Arizona"
Paul Watson,"Phoenix, Arizona"
Drew Eubanks,"Starkville, Mississippi"
