player,birthplace
Allen Iverson,"Hampton, Virginia"
Marcus Camby,"Hartford, Connecticut"
Shareef Abdur-Rahim,"Marietta, Georgia"
Stephon Marbury,"Brooklyn, New York"
Ray Allen,"Merced, California"
Antoine Walker,"Chicago, Illinois"
Lorenzen Wright,"Oxford, Mississippi"
Kerry Kittles,"Dayton, Ohio"
Samaki Walker,"Columbus, Ohio"
Erick Dampier,"Jackson, Mississippi"
Todd Fuller,"Fayetteville, North Carolina"
Vitaly Potapenko,"Kiev, Ukrainian SSR, Soviet Union"
Kobe Bryant,"Philadelphia, Pennsylvania"
Peja Stojaković,"Slavonska Požega, SR Croatia, SFR Yugoslavia"
Steve Nash,"Johannesburg, South Africa"
Tony Delk,"Covington, Tennessee"
Jermaine O'Neal,"Columbia, South Carolina"
John Wallace,"Rochester, New York"
Walter McCarty,"Evansville, Indiana"
Zydrunas Ilgauskas,"Kaunas, Lithuanian SSR, Soviet Union"
Dontae Jones,"Nashville, Tennessee"
Roy Rogers,"Linden, Alabama"
Efthimios Rentzias,"Trikala, Greece"
Derek Fisher,"Little Rock, Arkansas"
Martin Müürsepp,"Tallinn, Estonia"
Jerome Williams,"Washington, D.C."
Brian Evans,"Rockford, Illinois"
Priest Lauderdale,"Chicago, Illinois"
Travis Knight,"Hillsboro, Oregon, U.S."
Othella Harrington,"Jackson, Mississippi"
Mark Hendrickson,"Mount Vernon, Washington"
Ryan Minor,"Canton, Ohio"
Moochie Norris,"Washington, D.C."
Shawn Harvey,"Philadelphia, Pennsylvania"
Joseph Blair,"Akron, Ohio"
Doron Sheffer,"Ramat Efal, Israel"
Jeff McInnis,"Charlotte, North Carolina"
Steve Hamer,"Memphis, Tennessee"
Russ Millard,"Cedar Rapids, Iowa"
Marcus Mann,"Carthage, Mississippi"
Jason Sasser,"Denton, Texas"
Randy Livingston,"New Orleans, Louisiana"
Ben Davis,"Vero Beach, Florida"
Malik Rose,"Philadelphia, Pennsylvania"
Joe Vogel,"North Platte, Nebraska"
Marcus Brown,"West Memphis, Arkansas"
Ron Riley,"Las Vegas, Nevada"
Jamie Feick,"Lexington, Ohio"
Amal McCaskill,"Maywood, Illinois"
Terrell Bell,"Athens, Georgia"
Chris Robinson,"Columbus, Georgia"
Mark Pope,"Omaha, Nebraska"
Jeff Nordgaard,"Dawson, Minnesota"
Shandon Anderson,"Atlanta, Georgia"
Ronnie Henderson,"Gulfport, Mississippi"
Reggie Geary,"Trenton, New Jersey"
Drew Barry,"Oakland, California"
Darnell Robinson,"Oakland, California"
Darnell Robinson,"Oakland, California"
Chucky Atkins,"Orlando, Florida"
Adrian Griffin,"Wichita, Kansas"
Tim Duncan,"Saint Croix, U.S. Virgin Islands"
Keith Van Horn,"Fullerton, California"
Chauncey Billups,"Denver, Colorado"
Antonio Daniels,"Columbus, Ohio"
Tony Battie,"Dallas, Texas"
Ron Mercer,"Nashville, Tennessee"
Tim Thomas,"Paterson, New Jersey"
Adonal Foyle,"Canouan, Saint Vincent, Saint Vincent and the Grenadines"
Tracy McGrady,"Bartow, Florida"
Danny Fortson,"Altoona, Pennsylvania"
Tariq Abdul-Wahad,"Maisons-Alfort, Val-de-Marne, France"
Austin Croshere,"Los Angeles, California"
Derek Anderson,"Louisville, Kentucky"
Maurice Taylor,"Detroit, Michigan"
Kelvin Cato,"Atlanta, Georgia"
Brevin Knight,"Livingston, New Jersey"
Johnny Taylor,"Chattanooga, Tennessee"
Chris Anstey,"Melbourne, Victoria"
Scot Pollard,"Murray, Utah"
Paul Grant,"Pittsburgh, Pennsylvania"
Anthony Parker,"Naperville, Illinois"
Ed Gray,"Riverside, California"
Bobby Jackson,"East Spencer, North Carolina"
Rodrick Rhodes,"Jersey City, New Jersey"
John Thomas,"Minneapolis, Minnesota"
Charles Smith,"Fort Worth, Texas"
Jacque Vaughn,"Los Angeles, California"
Keith Booth,"Baltimore, Maryland"
Serge Zwikker,"Vlaardingen, Netherlands"
Mark Sanford,"Dallas, Texas"
Charles O'Bannon,"Bellflower, California"
James Cotton,"Los Angeles, California"
Marko Milič,"Kranj, SR Slovenia, SFR Yugoslavia"
Bubba Wells,"Russellville, Kentucky"
Kebu Stewart,"Brooklyn, New York"
James Collins,"Jacksonville, Florida"
Marc Jackson,"Philadelphia, Pennsylvania"
Jerald Honeycutt,"Shreveport, Louisiana"
Anthony Johnson,"Charleston, South Carolina"
Ed Elisma,"Miami, Florida"
Jason Lawson,"Philadelphia, Pennsylvania"
Stephen Jackson,"Port Arthur, Texas"
Gordon Malone,"Winnipeg, MB"
Cedric Henderson,"Memphis, Tennessee"
God Shammgod,"New York City, New York"
Eric Washington,"Pearl, Mississippi"
Alvin Williams,"Philadelphia, Pennsylvania"
Predrag Drobnjak,"Bijelo Polje, SR Montenegro, SFR Yugoslavia"
Alain Digbeu,"Mâcon, Saône-et-Loire"
Chris Crawford,"Kalamazoo, Michigan"
DeJuan Wheat,"Louisville, Kentucky"
C.J. Bruton,"Wichita, Kansas"
Paul Rogers,"Adelaide, South Australia"
Mark Blount,"Yonkers, New York"
Ben Pepper,"Geraldton, Western Australia"
Nate Erdmann,"Fort Dodge, Iowa"
Roberto Dueñas,"Madrid, Spain"
Pat Burke,"Dublin, Ireland"
Marlon Garnett,"Los Angeles, California"
Troy Hudson,"Carbondale, Illinois"
Michael Olowokandi,"Lagos, Nigeria"
Mike Bibby,"Cherry Hill, New Jersey"
Raef LaFrentz,"Hampton, Iowa"
Antawn Jamison,"Shreveport, Louisiana"
Vince Carter,"Daytona Beach, Florida"
Robert Traylor,"Detroit, Michigan"
Jason Williams,"Belle, West Virginia"
Larry Hughes,"St. Louis, Missouri"
Dirk Nowitzki,"Würzburg, West Germany"
Paul Pierce,"Oakland, California"
Bonzi Wells,"Muncie, Indiana"
Michael Doleac,"San Antonio, Texas"
Keon Clark,"Danville, Illinois"
Michael Dickerson,"Greenville, South Carolina"
Matt Harpring,"Cincinnati, Ohio"
Bryce Drew,"Baton Rouge, Louisiana"
Radoslav Nesterović,"Ljubljana, SR Slovenia, SFR Yugoslavia"
Mirsad Türkcan,"Novi Pazar, SR Serbia, SFR Yugoslavia"
Pat Garrity,"Las Vegas, Nevada"
Roshown McLeod,"Jersey City, New Jersey"
Ricky Davis,"Las Vegas, Nevada"
Brian Skinner,"Temple, Texas"
Tyronn Lue,"Mexico, Missouri"
Felipe López ,"Santiago, Dominican Republic"
Al Harrington,"Orange, New Jersey"
Sam Jacobson,"Cottage Grove, Minnesota"
Vladimir Stepania,"Tbilisi, Republic of Georgia"
Corey Benjamin,"Compton, California"
Nazr Mohammed,"Chicago, Illinois"
Ansu Sesay,"Greensboro, North Carolina"
Ruben Patterson,"Cleveland, Ohio"
