"Id","School"
"2","Auburn"
"5","UAB"
"6","South Alabama"
"8","Arkansas"
"9","Arizona State"
"12","Arizona"
"21","San Diego State"
"23","San José State"
"24","Stanford"
"25","California"
"26","UCLA"
"30","USC"
"36","Colorado State"
"38","Colorado"
"41","UConn"
"48","Delaware"
"52","Florida State"
"55","Jacksonville State"
"57","Florida"
"58","South Florida"
"59","Georgia Tech"
"61","Georgia"
"62","Hawai'i"
"66","Iowa State"
"68","Boise State"
"77","Northwestern"
"84","Indiana"
"87","Notre Dame"
"96","Kentucky"
"97","Louisville"
"98","Western Kentucky"
"99","LSU"
"103","Boston College"
"113","Massachusetts"
"120","Maryland"
"127","Michigan State"
"130","Michigan"
"135","Minnesota"
"142","Missouri"
"145","Ole Miss"
"150","Duke"
"151","East Carolina"
"152","NC State"
"153","North Carolina"
"154","Wake Forest"
"158","Nebraska"
"164","Rutgers"
"166","New Mexico State"
"167","New Mexico"
"183","Syracuse"
"189","Bowling Green"
"193","Miami (OH)"
"194","Ohio State"
"195","Ohio"
"197","Oklahoma State"
"201","Oklahoma"
"202","Tulsa"
"204","Oregon State"
"213","Penn State"
"218","Temple"
"221","Pittsburgh"
"228","Clemson"
"235","Memphis"
"238","Vanderbilt"
"239","Baylor"
"242","Rice"
"245","Texas A&M"
"248","Houston"
"249","North Texas"
"251","Texas"
"252","BYU"
"254","Utah"
"256","James Madison"
"258","Virginia"
"259","Virginia Tech"
"264","Washington"
"265","Washington State"
"275","Wisconsin"
"276","Marshall"
"277","West Virginia"
"278","Fresno State"
"290","Georgia Southern"
"295","Old Dominion"
"309","Louisiana"
"324","Coastal Carolina"
"326","Texas State"
"328","Utah State"
"333","Alabama"
"338","Kennesaw State"
"344","Mississippi State"
"349","Army"
"356","Illinois"
"2005","Air Force"
"2006","Akron"
"2026","App State"
"2032","Arkansas State"
"2050","Ball State"
"2084","Buffalo"
"2116","UCF"
"2117","Central Michigan"
"2132","Cincinnati"
"2199","Eastern Michigan"
"2226","Florida Atlantic"
"2229","Florida International"
"2247","Georgia State"
"2294","Iowa"
"2305","Kansas"
"2306","Kansas State"
"2309","Kent State"
"2335","Liberty"
"2348","Louisiana Tech"
"2390","Miami"
"2393","Middle Tennessee"
"2426","Navy"
"2429","Charlotte"
"2433","UL Monroe"
"2439","UNLV"
"2440","Nevada"
"2459","Northern Illinois"
"2483","Oregon"
"2509","Purdue"
"2534","Sam Houston"
"2567","SMU"
"2572","Southern Miss"
"2579","South Carolina"
"2623","Missouri State"
"2628","TCU"
"2633","Tennessee"
"2636","UTSA"
"2638","UTEP"
"2641","Texas Tech"
"2649","Toledo"
"2653","Troy"
"2655","Tulane"
"2711","Western Michigan"
"2751","Wyoming"
