Team,Venue,Group
Air Force,Clune Arena,arena
Akron,James A. Rhodes Arena,arena
Albany (NY),SEFCU Arena,arena
American,Bender Arena,arena
Arizona St.,Desert Financial Arena,arena
Arkansas,Bud Walton Arena,arena
Arkansas St.,First National Bank Arena,arena
Army West Point,Christl Arena,arena
Auburn,Neville Arena,arena
Austin Peay,F&M Bank Arena,arena
Ball St.,Worthen Arena,arena
Boise St.,ExtraMile Arena,arena
Buffalo,Alumni Arena (University at Buffalo),arena
CSUN,Premier America Credit Union Arena,arena
Central Mich.,McGuirk Arena,arena
Charlotte,Dale F. Halton Arena,arena
Chattanooga,McKenzie Arena,arena
Cincinnati,Fifth Third Arena,arena
Col. of Charleston,TD Arena,arena
Colorado St.,Moby Arena,arena
Cornell,Newman Arena,arena
Dartmouth,Leede Arena,arena
Davidson,John M. Belk Arena,arena
Dayton,UD Arena,arena
DePaul,Wintrust Arena,arena
Denver,Magness Arena,arena
East Carolina,Williams Arena at Minges Coliseum,arena
Eastern Ill.,Lantz Arena,arena
FGCU,Alico Arena,arena
Fairfield,Leo D. Mahoney Arena,arena
Fla. Atlantic,FAU Arena,arena
Furman,Timmons Arena,arena
Gardner-Webb,Paul Porter Arena,arena
George Mason,EagleBank Arena,arena
Georgetown,Capital One Arena,arena
Grand Canyon,GCU Arena,arena
Hartford,Chase Arena (Hartford),arena
High Point,Nido & Mariana Qubein Arena and Conference Center,arena
Idaho,Idaho Central Credit Union Arena,arena
Idaho St.,Holt Arena,arena
Illinois St.,CEFCU Arena,arena
Iowa,Carver–Hawkeye Arena,arena
Kentucky,Rupp Arena,arena
La Salle,Tom Gola Arena,arena
Lehigh,Stabler Arena,arena
Liberty,Liberty Arena,arena
Lindenwood,Robert F. Hyland Performance Arena,arena
Lipscomb,Allen Arena,arena
Loyola Chicago,Joseph J. Gentile Arena,arena
Loyola Maryland,Reitz Arena,arena
Marist,McCann Arena,arena
Mercer,Hawkins Arena,arena
Milwaukee,UW–Milwaukee Panther Arena,arena
Minnesota,Williams Arena and Sports Pavilion,arena
Missouri,Mizzou Arena,arena
Missouri St.,Great Southern Bank Arena,arena
Montana,Dahlberg Arena,arena
Morehead St.,Ellis Johnson Arena,arena
Mount St. Mary's,Knott Arena,arena
N.C. Central,McDougald–McLendon Arena,arena
NC State,PNC Arena,arena
Nebraska,Pinnacle Bank Arena,arena
New Orleans,Lakefront Arena,arena
North Florida,UNF Arena,arena
Northeastern,Matthews Arena,arena
Northern Colo.,Bank of Colorado Arena,arena
Northern Ky.,Truist Arena,arena
Northwestern,Welsh–Ryan Arena,arena
Ohio St.,Value City Arena,arena
Oklahoma St.,Gallagher-Iba Arena,arena
Old Dominion,Chartway Arena,arena
Omaha,Baxter Arena,arena
Oregon,Matthew Knight Arena,arena
Purdue,Mackey Arena,arena
Queens (NC),Curry Arena,arena
Rutgers,Jersey Mike's Arena,arena
Saint Francis (PA),DeGol Arena,arena
Saint Joseph's,Hagan Arena,arena
Saint Louis,Chaifetz Arena,arena
San Diego St.,Viejas Arena,arena
Siena,MVP Arena,arena
South Carolina,Colonial Life Arena,arena
South Dakota St.,Frost Arena,arena
Southern Ind.,Screaming Eagles Arena,arena
St. John's (NY),Carnesecca Arena,arena
St. Thomas (MN),Schoenecker Arena,arena
Stony Brook,Island Federal Arena,arena
TCU,Schollmaier Arena,arena
Tennessee,Thompson–Boling Arena,arena
Texas A&M,Reed Arena,arena
Texas Southern,Health and Physical Education Arena,arena
Texas St.,Strahan Arena,arena
Texas Tech,United Supermarkets Arena,arena
Toledo,Savage Arena,arena
Towson,SECU Arena,arena
Troy,Trojan Arena,arena
UAB,Bartow Arena,arena
UC Riverside,SRC Arena,arena
UC San Diego,RIMAC Arena,arena
UCF,Addition Financial Arena,arena
UIC,Credit Union 1 Arena,arena
UMBC,Chesapeake Employers Insurance Arena,arena
UNC Asheville,Kimmel Arena,arena
Utah Tech,Burns Arena,arena
Virginia,John Paul Jones Arena,arena
Washington,Alaska Airlines Arena at Hec Edmundson Pavilion,arena
Western Ky.,E. A. Diddle Arena,arena
Western Mich.,University Arena,arena
Wichita St.,Charles Koch Arena,arena
William & Mary,Kaplan Arena,arena
Wyoming,Arena-Auditorium,arena
A&M-Corpus Christi,American Bank Center,center
Alabama A&M,Alabama A&M Events Center,center
App State,George M. Holmes Convocation Center,center
Arizona,McKale Center,center
BYU,Marriott Center,center
Baylor,Ferrell Center,center
Belmont,Curb Event Center,center
Binghamton,Binghamton University Events Center,center
Bowling Green,Stroh Center,center
Bradley,Peoria Civic Center,center
Brown,Pizzitola Sports Center,center
Bryant,Chace Athletic Center,center
CSU Bakersfield,Icardo Center,center
Cal Poly,Robert A. Mott Athletics Center,center
California Baptist,CBU Events Center,center
Campbell,John W. Pope Jr. Convocation Center,center
Canisius,Koessler Athletic Center,center
Central Ark.,Farris Center,center
Chicago St.,Emil and Patricia Jones Convocation Center,center
Cleveland St.,Wolstein Center,center
Coastal Carolina,HTC Center,center
Colorado,CU Events Center,center
Creighton,CHI Health Center Omaha,center
Delaware,Bob Carpenter Center,center
Drake,Knapp Center,center
Drexel,Daskalakis Athletic Center,center
ETSU,Freedom Hall Civic Center,center
Eastern Mich.,George Gervin GameAbove Center,center
Elon,Schar Center,center
Evansville,Ford Center (Evansville),center
FIU,Ocean Bank Convocation Center,center
Fairleigh Dickinson,Rothman Center,center
Florida,O'Connell Center,center
Florida A&M,Al Lawson Center,center
Florida St.,Donald L. Tucker Civic Center,center
Fresno St.,Save Mart Center,center
George Washington,Charles E. Smith Center,center
Georgia St.,Georgia State Convocation Center,center
Gonzaga,McCarthey Athletic Center,center
Grambling,Fredrick C. Hobdy Assembly Center,center
Green Bay,Resch Center,center
Hampton,Hampton Convocation Center,center
Hawaii,Stan Sheriff Center,center
Holy Cross,Hart Center,center
Houston,Fertitta Center,center
Illinois,State Farm Center,center
Indiana St.,Hulman Center,center
Iona,Hynes Athletic Center,center
Jackson St.,Williams Assembly Center,center
James Madison,Atlantic Union Bank Center,center
Kansas City,Swinney Recreation Center,center
Kennesaw St.,KSU Convocation Center,center
Kent St.,Memorial Athletic and Convocation Center,center
LIU,Steinberg Wellness Center,center
LSU,Pete Maravich Assembly Center,center
Lafayette,Kirby Sports Center,center
Lamar University,Montagne Center,center
Little Rock,Jack Stephens Center,center
Longwood,Joan Perry Brock Center,center
Louisiana Tech,Thomas Assembly Center,center
Louisville,KFC Yum! Center,center
Maine,Cross Insurance Center,center
Marshall,Cam Henderson Center,center
Maryland,Xfinity Center,center
Massachusetts,Mullins Center,center
McNeese St.,The Legacy Center,center
Miami (FL),Watsco Center,center
Michigan,Crisler Center,center
Michigan St.,Breslin Student Events Center,center
Middle Tenn.,Murphy Center,center
Monmouth,OceanFirst Bank Center,center
Murray St.,CFSB Center,center
N.C. A&T,Corbett Sports Center,center
NJIT,Wellness and Events Center,center
Nevada,Lawlor Events Center,center
New Mexico St.,Pan American Center,center
Niagara,Gallagher Center,center
North Dakota,Betty Engelstad Sioux Center,center
North Dakota St.,Scheels Center,center
Northern Ill.,Convocation Center (Northern Illinois University),center
Notre Dame,Edmund P. Joyce Center,center
Oakland,Athletics Center O'rena,center
Ohio,Convocation Center (Ohio University),center
Oklahoma,Lloyd Noble Center,center
Oral Roberts,Mabee Center,center
Pacific,Alex G. Spanos Center,center
Penn St.,Bryce Jordan Center,center
Portland,Chiles Center,center
Presbyterian,Templeton Physical Education Center,center
Purdue Fort Wayne,Hilliard Gates Sports Center,center
Quinnipiac,People's United Sports Center,center
Radford,Dedmon Center,center
Rhode Island,Ryan Center,center
Richmond,Robins Center,center
Robert Morris,UPMC Events Center,center
SIUE,Vadalabene Center,center
Sacred Heart,William H. Pitt Center,center
Saint Peter's,Yanitelli Center,center
Samford,Pete Hanna Center,center
San Francisco,The Sobrato Center,center
San Jose St.,Provident Credit Union Event Center,center
Santa Clara,Leavey Center,center
Seattle U,Redhawk Center,center
Seton Hall,Prudential Center,center
South Alabama,Mitchell Center,center
South Carolina St.,Smith–Hammond–Middleton Memorial Center,center
South Dakota,Sanford Coyote Sports Center,center
South Fla.,Yuengling Center,center
Southeast Mo. St.,Show Me Center,center
Southeastern La.,University Center (Southeastern Louisiana),center
Southern California,Galen Center,center
Southern Ill.,Banterra Center,center
Southern U.,F. G. Clark Center,center
Southern Utah,America First Event Center,center
St. Bonaventure,Reilly Center,center
Stetson,Edmunds Center,center
Temple,Liacouras Center,center
Tennessee Tech,Eblen Center,center
Texas,Moody Center,center
Tulsa,Reynolds Center,center
UC Irvine,Bren Events Center,center
UC Santa Barbara,Thunderdome Events Center,center
UIW,McDermott Center,center
UMES,Hytche Athletic Center,center
UMass Lowell,Costello Athletic Center,center
UNI,McLeod Center,center
UNLV,Thomas & Mack Center,center
USC Upstate,G. B. Hodge Center,center
UT Arlington,College Park Center,center
UT Martin,Kathleen and Tom Elam Center,center
UTEP,Don Haskins Center,center
UTSA,Convocation Center (UTSA),center
Utah,Jon M. Huntsman Center,center
Utah Valley,UCCU Center,center
VCU,Siegel Center,center
Valparaiso,Athletics–Recreation Center,center
Wagner,Spiro Sports Center,center
Weber St.,Dee Events Center,center
Western Caro.,Ramsey Center,center
Wisconsin,Kohl Center,center
Wright St.,Nutter Center,center
Xavier,Cintas Center,center
Youngstown St.,Beeghly Center,center
Abilene Christian,Moody Coliseum,coliseum
Alabama,Coleman Coliseum,coliseum
Clemson,Littlejohn Coliseum,coliseum
Eastern Ky.,Alumni Coliseum,coliseum
Georgia,Stegeman Coliseum,coliseum
IUPUI,Indiana Farmers Coliseum,coliseum
Iowa St.,Hilton Coliseum,coliseum
Jacksonville St.,Pete Mathews Coliseum,coliseum
Kansas St.,Bramlage Coliseum,coliseum
Mississippi St.,Humphrey Coliseum,coliseum
North Texas,UNT Coliseum,coliseum
Northwestern St.,Prather Coliseum,coliseum
Oregon St.,Gill Coliseum,coliseum
SFA,William R. Johnson Coliseum,coliseum
SMU,Moody Coliseum,coliseum
Sam Houston,Bernard Johnson Coliseum,coliseum
Southern Miss.,Reed Green Coliseum,coliseum
ULM,Fant–Ewing Coliseum,coliseum
UNC Greensboro,Greensboro Coliseum,coliseum
UNCW,Trask Coliseum,coliseum
Virginia Tech,Cassell Coliseum,coliseum
Wake Forest,Lawrence Joel Veterans Memorial Coliseum,coliseum
Washington St.,Beasley Coliseum,coliseum
West Virginia,WVU Coliseum,coliseum
Winthrop,Winthrop Coliseum,coliseum
Alcorn,Davey Whitney Complex,complex
Ark.-Pine Bluff,K. L. Johnson Complex,complex
Coppin St.,Physical Education Complex,complex
Hofstra,Mack Sports Complex,complex
Merrimack,Merrimack Athletics Complex,complex
Mississippi Val.,Harrison HPER Complex,complex
Tennessee St.,Gentry Complex,complex
Colgate,Cotterell Court,court
Eastern Wash.,Reese Court,court
North Carolina,Dean Dome,dome
Syracuse,JMA Wireless Dome,dome
A&M-Commerce,Texas A&M–Commerce Field House,field
Charleston So.,Buccaneer Field House,field
Morgan St.,Talmadge L. Hill Field House,field
The Citadel,McAlister Field House,field
Butler,Hinkle Fieldhouse,fieldhouse
Duquesne,UPMC Cooper Fieldhouse,fieldhouse
Ga. Southern,Hanner Fieldhouse,fieldhouse
Kansas,Allen Fieldhouse,fieldhouse
Montana St.,Brick Breeden Fieldhouse,fieldhouse
Pepperdine,Firestone Fieldhouse,fieldhouse
Rice,Tudor Fieldhouse,fieldhouse
Tulane,Devlin Fieldhouse,fieldhouse
UTRGV,UTRGV Fieldhouse,fieldhouse
Boston College,Conte Forum,forum
Marquette,Fiserv Forum,forum
Bethune-Cookman,Moore Gymnasium,gym
Boston U.,Case Gym,gym
Cal St. Fullerton,Titan Gym,gym
Central Conn. St.,William H. Detrick Gymnasium,gym
Columbia,Francis S. Levien Gymnasium,gym
Fordham,Rose Hill Gymnasium,gym
Houston Christian,Sharp Gymnasium,gym
Howard,Burr Gymnasium,gym
Jacksonville,Swisher Gymnasium,gym
Manhattan,Draddy Gymnasium,gym
New Hampshire,Lundholm Gym,gym
Nicholls,Stopher Gymnasium,gym
Princeton,Jadwin Gymnasium,gym
Rider,Alumni Gymnasium (Rider University),gym
Stonehill,Merkert Gymnasium,gym
Tarleton St.,Wisdom Gymnasium,gym
Vanderbilt,Memorial Gymnasium,gym
Vermont,Patrick Gym,gym
Yale,Payne Whitney Gymnasium,gym
Bellarmine,Freedom Hall,hall
Delaware St.,Memorial Hall (Delaware State),hall
Detroit Mercy,Calihan Hall,hall
Indiana,Assembly Hall,hall
Miami (OH),Millett Hall,hall
Navy,Alumni Hall,hall
Norfolk St.,Joseph G. Echols Memorial Hall,hall
North Ala.,Flowers Hall,hall
VMI,Cameron Hall,hall
Western Ill.,Western Hall,hall
Alabama St.,Dunn–Oliver Acadome,other/unknown
Long Beach St.,Walter Pyramid,other/unknown
